unique_id,project_subtype,project_subtype_two,archive_filename,start_date,estimated_completion_date,actual_completion_date,estimated_duration,actual_duration,fiscal_year,estimated_cost,estimated_cost_nocontingency,final_cost,cost_pct0,schedule_pct0,expenditure_pct0,cost_pct10,schedule_pct10,expenditure_pct10,cost_pct20,schedule_pct20,expenditure_pct20,cost_pct30,schedule_pct30,expenditure_pct30,cost_pct40,schedule_pct40,expenditure_pct40,cost_pct50,schedule_pct50,expenditure_pct50,cost_pct60,schedule_pct60,expenditure_pct60,cost_pct70,schedule_pct70,expenditure_pct70,cost_pct80,schedule_pct80,expenditure_pct80,cost_pct90,schedule_pct90,expenditure_pct90
001V_crystal park 5 move to arlington service cent,Relocation,,"MilCon Status Report - January, 2013.xlsx",2010-10-01,2011-08-01,2012-07-09,304 days,647 days,2010.0,49600000.0,47238095.23809524,70776000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.498282258064516,2.1282894736842106,1.0
003A_navy systems mgmt activity relocation inc 2,Relocation,,"MilCon Status Report - January, 2013.xlsx",2009-10-14,2011-06-30,2011-09-28,624 days,714 days,2010.0,71699000.0,68284761.9047619,72534000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0596068285471207,1.1442307692307692,0.9975321917997078
003V_navy systems management activity relocation,Relocation,,"MilCon Status Report - January, 2013.xlsx",2009-10-14,2011-06-30,2011-09-28,624 days,714 days,2009.0,14963000.0,14250476.19047619,15390000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0799639109804184,1.1442307692307692,1.0
004_apcss conference & technology learning center,General buildings,School/classrooms,"MilCon Status Report - January, 2013.xlsx",2010-08-11,2012-06-12,2012-06-12,671 days,664 days,2010.0,11431000.0,10886666.66666667,12775000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1734537660747089,1.0,1.0,1.1734537660747089,1.0,1.0
004_motor transportation/comm maintenance fac,General buildings,Engineering/equipment maintenance facility,"MilCon Status Report - January, 2013.xlsx",2011-06-16,2012-12-01,2014-01-15,534 days,944 days,2011.0,12906000.0,12291428.57142857,12849000.0,,,,,,,,,,,,,,,,,,,,,,0.9653881915388192,1.0842696629213484,0.9234959919059849,1.0440609019060902,1.7677902621722847,0.9987547669079305,1.0453626220362622,1.7677902621722847,1.0
005_paint and blast facility,Vehicle depot/maintenance,,"MilCon Status Report - January, 2013.xlsx",2011-09-30,2013-05-16,2014-01-24,594 days,847 days,2011.0,20345000.0,19376190.47619048,19808000.0,,,,,,,,,,,,,,,,1.0000933890390757,1.0,0.9782915993537964,1.0002482182354384,1.0,0.9784430533117933,1.0002482182354384,1.0,0.9784430533117933,1.0117055787662814,1.3602693602693603,0.9896506462035541,1.0222855738510688,1.4259259259259258,1.0
"006_physical fitness center, camp smith",General buildings,Fitness facility,"MilCon Status Report - January, 2013.xlsx",2011-06-30,2013-03-07,2014-04-04,616 days,1009 days,2011.0,28891000.0,27515238.09523809,28102000.0,,,,,,,,,,,,,,,,,,,0.9930497386729433,1.3149350649350648,0.9723151377126183,1.014819493960057,1.4675324675324675,0.9936303465945484,1.0194351182029007,1.4675324675324675,0.9981495978933884,1.0213249800976085,1.6379870129870129,1.0
010_autonomous systems research lab,General buildings,Lab,"MilCon Status Report - January, 2013.xlsx",2009-10-13,2011-04-07,2011-08-11,541 days,667 days,2009.0,19721000.0,18781904.76190476,24423000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1096318645099132,1.232902033271719,0.8533349711337673
010_eodmu ten operations facility,General buildings,Command facility/ops centre,"MilCon Status Report - January, 2013.xlsx",2009-03-16,2010-09-08,2011-03-16,541 days,730 days,2009.0,7985000.0,7604761.904761905,8286000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0895804633688164,1.3493530499075785,1.0
012_construct naccc addition,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2011-06-24,2012-04-13,2012-04-20,294 days,301 days,2011.0,1380000.0,1314285.714285714,1256000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9556521739130436,1.0238095238095237,1.0
012A_collocate mildep investig agencies inc 2 of 2,Relocation,,"MilCon Status Report - January, 2013.xlsx",2008-08-13,2010-12-01,2010-12-23,840 days,862 days,2009.0,207745000.0,197852380.952381,210741000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0650263544248955,1.026190476190476,0.9998908612941952
013852_fy11 battle sims training support center,Training facility,Simulation centre,"MilCon Status Report - March, 2014 .xlsx",2011-11-04,2013-04-27,2014-08-31,540 days,1031 days,2011.0,27829194.0,26503994.28571428,34671399.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1679553906591764,1.7685185185185186,0.8928247458373398,1.3081575035913726,1.9092592592592592,1.0
015_calibration facility land acquisition,Land acquisition,,"MilCon Status Report - January, 2013.xlsx",2012-01-06,,,,,2011.0,3149000.0,2999047.619047619,3080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0269926960939981,,1.0
016_e-2d aircrew trainer facility,Training facility,Flight simulator,"MilCon Status Report - January, 2013.xlsx",2010-05-21,2011-07-23,2011-12-02,428 days,560 days,2010.0,5737000.0,5463809.523809523,5675000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0379205159491025,1.308411214953271,0.999295154185022
018646_vehicle maintenance facility,Vehicle depot/maintenance,,"MilCon Status Report - January, 2013.xlsx",2012-05-30,2013-08-23,2013-08-31,450 days,458 days,2012.0,12240971.0,11658067.61904762,12273357.0,,,,,,,,,,,,,,,,1.051332467824652,,0.998626944527076,,,,,,,1.0405875481610078,1.0177777777777777,0.9884206904435355,1.0422461420748403,1.0177777777777777,0.9899961355316235
019_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2009-10-13,2011-10-29,2012-01-17,746 days,826 days,2009.0,22378000.0,21312380.95238095,24108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1311734739476271,1.1072386058981234,1.0
020_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2009-12-31,2012-01-16,2012-05-31,746 days,882 days,2009.0,19438000.0,18512380.95238095,17993000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9708637719930034,1.1823056300268096,0.9988884566220196,0.9718901121514559,1.1823056300268096,0.999944422831101
022_consolidated warehouse facility,General buildings,Warehouse/storage,"MilCon Status Report - January, 2013.xlsx",2011-06-17,2012-07-27,2013-12-20,406 days,917 days,2011.0,13295000.0,12661904.76190476,11139000.0,,,,,,,,,,,,,,,,0.858322677698383,1.5320197044334976,0.9756710656252805,0.858322677698383,1.5320197044334976,0.9756710656252805,,,,0.858322677698383,1.5320197044334976,0.9756710656252805,0.8777510342233924,2.0541871921182264,0.9977556333602657
023_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2009-09-11,2011-02-13,2012-01-16,520 days,857 days,2009.0,11498000.0,10950476.19047619,11348000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0363019655592276,1.648076923076923,1.0
023_washrack expansion,Military site infrastructure,Vehicle wash rack,"MilCon Status Report - January, 2013.xlsx",2011-06-15,2012-11-19,2013-06-30,523 days,746 days,2011.0,8877000.0,8454285.714285715,8449000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9993747887799932,1.4263862332695985,1.0,0.9993747887799932,1.4263862332695985,1.0
024_child development center,General buildings,Child care building,"MilCon Status Report - January, 2013.xlsx",2010-11-18,2012-05-27,2013-04-12,556 days,876 days,2009.0,12558000.0,11960000.0,13247000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1045986622073578,1.5755395683453237,0.9972824035630709
"026_bachelor enlisted quarters, las pulgas",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2009-08-10,2011-08-04,2011-08-04,724 days,724 days,2009.0,34235000.0,32604761.9047619,34183000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0484051409376371,1.0,1.0
027259_industrial waste water treatment plant,Water,Wastewater treatment,"MilCon Status Report - January, 2013.xlsx",2012-06-28,2013-06-28,2013-06-28,365 days,365 days,2008.0,1860159.0,1771580.0,1900546.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0727971641133902,,1.0,1.05,1.0,0.9787497908495769
